window_id,timestamp,frame_file,vision_available,telemetry_available,telemetry_age_s,speed_kmph,accel_x,accel_y,brake_pressure,steering_angle,throttle,lane_deviation,headway_distance,p_safe,p_aggressive,p_distracted
1,10:00:00,frame_safe_a.jpg,1,1,0,34,0.3,0.1,12,-2.0,30,0.3,26,0.94,0.04,0.02
2,10:00:02,frame_safe_a.jpg,1,1,0,36,0.42,0.12,15,-3.1,33,0.35,24,0.92,0.05,0.03
3,10:00:04,frame_safe_b.jpg,1,1,0,38,0.55,0.18,18,-4.0,36,0.4,22,0.9,0.06,0.04
4,10:00:06,frame_safe_b.jpg,1,1,0,35,0.48,0.15,14,-2.6,32,0.33,25,0.91,0.05,0.04
5,10:00:08,frame_mild.jpg,1,1,0,40,0.7,0.22,20,-5.0,41,0.55,19,0.86,0.06,0.08
6,10:00:10,frame_texting.jpg,1,1,0,42,0.8,0.2,22,-6.0,44,0.62,18,0.82,0.06,0.12
7,10:00:12,frame_texting.jpg,1,1,0,43,0.85,0.24,24,-6.5,46,0.66,17,0.8,0.07,0.13
8,10:00:14,frame_phone.jpg,1,1,0,70,3.1,0.8,78,-7.0,80,0.3,11,0.28,0.5,0.22
9,10:00:16,frame_phone.jpg,1,1,0,78,3.4,0.9,82,-9.0,84,0.28,9.5,0.22,0.56,0.22
10,10:00:18,frame_severe.jpg,1,1,0,84,3.6,1.1,86,-12.0,88,0.26,8.0,0.18,0.6,0.22
11,10:00:20,frame_safe_b.jpg,1,1,0,88,3.9,1.3,90,-22.0,92,1.2,7.0,0.2,0.62,0.18
12,10:00:22,frame_mild.jpg,1,1,0,80,3.2,1.1,80,-18.0,86,1.05,8.5,0.3,0.52,0.18
13,10:00:24,frame_mild.jpg,1,1,0,74,2.8,0.9,70,-15.0,78,0.95,9.5,0.4,0.44,0.16
14,10:00:26,frame_phone.jpg,1,0,999,60,2.4,0.7,50,-8.0,64,0.0,14,0.0,0.0,0.0
15,10:00:28,,0,1,0,82,3.3,1.0,84,16.0,83,0.92,10,0.3,0.5,0.2
16,10:00:30,frame_texting.jpg,1,1,4,76,2.9,0.95,72,-14.0,79,0.88,9.0,0.32,0.46,0.22
17,10:00:32,,0,0,999,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
18,10:00:34,frame_phone.jpg,1,1,0,72,3.0,0.85,76,-10.0,81,0.4,10.5,0.3,0.5,0.2
19,10:00:36,frame_mild.jpg,1,1,0,50,1.2,0.4,40,-7.0,55,0.6,16,0.66,0.22,0.12
20,10:00:38,frame_safe_b.jpg,1,1,0,42,0.6,0.2,18,-4.0,38,0.42,20,0.88,0.08,0.04
21,10:00:40,frame_safe_a.jpg,1,1,0,38,0.45,0.14,14,-3.0,33,0.34,23,0.92,0.05,0.03
22,10:00:42,frame_safe_a.jpg,1,1,0,35,0.36,0.11,12,-2.2,31,0.3,25,0.94,0.04,0.02
23,10:00:44,frame_safe_a.jpg,1,1,0,33,0.3,0.1,11,-1.8,29,0.28,27,0.95,0.03,0.02
24,10:00:46,frame_safe_a.jpg,1,1,0,32,0.28,0.09,10,-1.5,28,0.27,28,0.94,0.04,0.02
25,10:00:48,frame_safe_a.jpg,1,1,0,31,0.26,0.08,10,-1.4,27,0.26,29,0.95,0.03,0.02
